Participant,Condition,Mratio,Da,MetaDa,MratioLog
1,Monolingual,0.51629694,0.993129114,0.512749523,-0.661073213
2,Monolingual,0.528666296,1.060001151,0.560386882,-0.637397866
3,Monolingual,0.563967424,0.86365224,0.487071729,-0.572758788
4,Monolingual,0.561709555,1.085978542,0.610004523,-0.576770369
5,Monolingual,0.552208022,1.018592213,0.562474792,-0.593830451
6,Monolingual,0.643415393,0.951308786,0.612086716,-0.440964741
7,Monolingual,0.620963834,0.832977365,0.517248818,-0.476482436
8,Monolingual,0.621352617,0.993618808,0.617387646,-0.475856538
9,Monolingual,0.694874832,0.83374595,0.579349076,-0.364023548
10,Monolingual,0.546141901,0.989641612,0.540484751,-0.604876446
11,Monolingual,0.635647231,1.018592213,0.64746532,-0.453111538
12,Monolingual,0.551820275,1.23196278,0.67982204,-0.594532874
13,Monolingual,0.618354699,0.92950052,0.574761014,-0.48069304
14,Monolingual,0.606076478,1.110347635,0.672955583,-0.5007491
15,Monolingual,0.570780901,0.941703984,0.537506648,-0.560749854
16,Monolingual,0.585008197,0.875198805,0.511998475,-0.53612942
17,Monolingual,0.51263203,1.325325564,0.679404334,-0.668196982
18,Monolingual,0.593591801,0.925465912,0.549348977,-0.5215634
19,Monolingual,0.562929257,0.964905714,0.543173657,-0.574601312
20,Monolingual,0.528106636,0.94324995,0.498136558,-0.638457053
21,Monolingual,0.602136976,1.017469219,0.612655839,-0.507270324
22,Monolingual,0.600338968,1.085191441,0.65148271,-0.510260836
23,Monolingual,0.579573055,1.045165465,0.605749742,-0.545463558
24,Monolingual,0.550851878,1.028312201,0.566447708,-0.596289329
25,Monolingual,0.61817874,1.028813116,0.635990395,-0.480977641
26,Monolingual,0.561226272,0.954622273,0.535759099,-0.577631118
27,Monolingual,0.535889684,0.881571282,0.472424956,-0.623826952
28,Monolingual,0.58609317,0.991735486,0.581249394,-0.53427651
29,Monolingual,0.639947474,1.018592213,0.651845514,-0.446369177
30,Monolingual,0.57081471,1.183125323,0.675345338,-0.560690623
31,Monolingual,0.567474602,1.046263029,0.593727696,-0.566559284
32,Bilingual,0.508549618,0.904529287,0.459998023,-0.676192491
33,Bilingual,0.567183489,1.035915515,0.587554176,-0.567072413
34,Bilingual,0.562460243,0.934405882,0.525566159,-0.575434827
35,Bilingual,0.535498064,0.869735424,0.465741636,-0.624558004
36,Bilingual,0.562994088,1.202260318,0.676865451,-0.574486152
37,Bilingual,0.523293446,0.840682858,0.43992383,-0.647612891
38,Bilingual,0.593295718,1.01022022,0.599359331,-0.522062322
39,Bilingual,0.59246036,1.073221878,0.63584142,-0.523471312
40,Bilingual,0.515325384,1.12851515,0.581552503,-0.662956764
41,Bilingual,0.621099009,1.034925191,0.64279101,-0.476264775
42,Bilingual,0.594585366,1.031811525,0.613500033,-0.519890981
43,Bilingual,0.539631485,1.056855775,0.570312651,-0.616868808
44,Bilingual,0.541402311,0.925465912,0.501049383,-0.613592634
45,Bilingual,0.519927737,0.984088742,0.511655033,-0.654065445
46,Bilingual,0.555559299,1.057202583,0.587338726,-0.587779926
47,Bilingual,0.544897782,1.028214632,0.560271873,-0.607157057
48,Bilingual,0.494172563,1.093973021,0.540611451,-0.704870506
49,Bilingual,0.519750331,0.778250057,0.404495725,-0.654406716
50,Bilingual,0.552294716,0.934405882,0.516067431,-0.59367347
51,Bilingual,0.598510209,1.018878017,0.609808895,-0.513311696
52,Bilingual,0.538060759,1.138618199,0.612645772,-0.61978379
53,Bilingual,0.558020321,0.872765724,0.487021009,-0.5833599
54,Bilingual,0.59883969,0.986742175,0.590900378,-0.512761347
55,Bilingual,0.531882733,1.273416161,0.677308068,-0.63133224
56,Bilingual,0.523055511,1.139589949,0.596068803,-0.648067682
57,Bilingual,0.581942206,0.854635046,0.497348204,-0.541384138
58,Bilingual,0.565223086,0.993618808,0.561616289,-0.570534783
59,Bilingual,0.612043222,1.259168573,0.77066559,-0.490952375
60,Bilingual,0.61668187,0.886175844,0.546488576,-0.483401996
61,Bilingual,0.511664393,0.89812824,0.459540241,-0.670086351
62,Bilingual,0.53620611,1.268232471,0.680033999,-0.623236659
1,Monolingual,0.396140763,0.878121081,0.347859555,-0.92598567
2,Monolingual,0.386156755,1.07470802,0.415005762,-0.951511891
3,Monolingual,0.552272418,1.181131192,0.65230618,-0.593713843
4,Monolingual,0.544312719,0.926051105,0.504061395,-0.608231347
5,Monolingual,0.399489003,1.089165129,0.435109491,-0.917569042
6,Monolingual,0.481642984,1.027153449,0.494721252,-0.730552137
7,Monolingual,0.447922476,1.017469219,0.455747332,-0.803135106
8,Monolingual,0.455362365,1.081931989,0.49267111,-0.786661769
9,Monolingual,0.578395143,1.036044002,0.599242819,-0.547498005
10,Monolingual,0.46540893,0.98197729,0.457021,-0.764838841
11,Monolingual,0.32286887,1.174427378,0.379186041,-1.130509013
12,Monolingual,0.525521484,0.923324762,0.485226999,-0.643364206
13,Monolingual,0.416826654,1.024429008,0.427009315,-0.875084842
14,Monolingual,0.635578457,0.954521497,0.6066733,-0.453219739
15,Monolingual,0.498782432,1.01121436,0.504375958,-0.695585286
16,Monolingual,0.525653326,1.071563892,0.563271124,-0.64311336
17,Monolingual,0.383935987,0.957632289,0.367669498,-0.95727944
18,Monolingual,0.477947421,0.87739468,0.419348525,-0.73825455
19,Monolingual,0.569553472,0.927074679,0.528018602,-0.562902607
20,Monolingual,0.425653482,1.050447448,0.447126614,-0.854129686
21,Monolingual,0.522857672,0.892597372,0.466701385,-0.648445989
22,Monolingual,0.534446451,1.007324829,0.53836118,-0.626523738
23,Monolingual,0.450363405,1.090902456,0.491302545,-0.797700455
24,Monolingual,0.495138235,1.030465856,0.510223045,-0.702918293
25,Monolingual,0.600028483,0.982395696,0.589465399,-0.510778153
26,Monolingual,0.438470579,1.04592638,0.458607946,-0.824462563
27,Monolingual,0.361120186,1.133796713,0.409436879,-1.018544452
28,Monolingual,0.530119506,0.977934487,0.518422147,-0.634652815
29,Monolingual,0.631883914,1.026802736,0.648820132,-0.459049582
30,Monolingual,0.463502994,0.921335986,0.427041988,-0.768942434
31,Monolingual,0.459288089,0.985413126,0.452588511,-0.778077621
32,Bilingual,0.399417856,0.901983692,0.360268392,-0.917747153
33,Bilingual,0.451640126,0.964083625,0.43541885,-0.794869597
34,Bilingual,0.409193601,0.941703984,0.385339244,-0.893566884
35,Bilingual,0.358579038,1.017469219,0.364843134,-1.025606174
36,Bilingual,0.422921084,1.15899469,0.490163291,-0.86056968
37,Bilingual,0.389995285,1.080183884,0.421266622,-0.941620629
38,Bilingual,0.410887526,1.207330232,0.496076932,-0.889435762
39,Bilingual,0.415990776,1.14927906,0.478089488,-0.877092192
40,Bilingual,0.412720195,0.891186775,0.367810779,-0.88498541
41,Bilingual,0.437204637,1.129866323,0.493982796,-0.827353916
42,Bilingual,0.467403907,1.014184206,0.474033661,-0.760561497
43,Bilingual,0.43384411,0.888351628,0.385406121,-0.835070003
44,Bilingual,0.434099383,1.013640399,0.440020671,-0.834481779
45,Bilingual,0.424410893,0.712830618,0.302533079,-0.857053206
46,Bilingual,0.404908625,0.976909566,0.395559109,-0.904093855
47,Bilingual,0.402651144,0.91950371,0.370239221,-0.909684739
48,Bilingual,0.396110676,1.035312646,0.410098393,-0.926061621
49,Bilingual,0.394788428,0.996292039,0.393324568,-0.929405284
50,Bilingual,0.424128121,1.122289783,0.475994657,-0.857719696
51,Bilingual,0.420876126,0.928836419,0.390925074,-0.865416726
52,Bilingual,0.430797988,1.063518613,0.458161679,-0.842116004
53,Bilingual,0.421554141,0.905659564,0.381784539,-0.863807062
54,Bilingual,0.435384483,1.004050606,0.437148055,-0.831525768
55,Bilingual,0.399124824,1.357167475,0.541679229,-0.91848107
56,Bilingual,0.424781847,1.117388437,0.474646324,-0.856179542
57,Bilingual,0.415586172,1.018651019,0.423337278,-0.878065292
58,Bilingual,0.408811998,0.92165442,0.376783385,-0.894499892
59,Bilingual,0.445083328,0.848552129,0.377676405,-0.80949376
60,Bilingual,0.411536265,1.117022712,0.459695355,-0.887858133
61,Bilingual,0.426954243,1.057943483,0.45169346,-0.85107843
62,Bilingual,0.409986463,1.182633831,0.484863861,-0.891631137
