Participant,Trial,Group,Block,BlockPresentation,Correct,CorrectKey,Response,RT,DotDifference,DotNumberRight,DotNumberLeft,Confidence,ConfidenceRT,Date,TimeStamp,TimeStamp+1,RTConf+1,expName
1,1,Monolingual,1,1,0.0,right,left,4.408615959999992,3.0,53.0,50.0,0.6,0.973,2014_Nov_12_1312,211.63232786400002,,,MetaDots
1,2,Monolingual,1,2,1.0,right,right,2.6733702959999865,4.0,54.0,50.0,0.5,0.456,2014_Nov_12_1312,215.27869816,211.63232786400002,0.973,MetaDots
1,3,Monolingual,1,3,0.0,right,left,3.2917769159999923,4.0,50.0,46.0,0.58,0.8420000000000001,2014_Nov_12_1312,219.026475076,215.27869816,0.456,MetaDots
1,4,Monolingual,1,4,0.0,right,left,2.777240569999988,5.0,55.0,50.0,0.54,1.036,2014_Nov_12_1312,222.64571564599999,219.026475076,0.8420000000000001,MetaDots
1,5,Monolingual,1,5,1.0,left,left,2.860096645,6.0,50.0,56.0,0.58,0.8759999999999999,2014_Nov_12_1312,226.54181229099999,222.64571564599999,1.036,MetaDots
1,6,Monolingual,1,6,1.0,left,left,1.9476064040000032,6.0,44.0,50.0,0.58,1.187,2014_Nov_12_1312,229.365418695,226.54181229099999,0.8759999999999999,MetaDots
1,7,Monolingual,1,7,1.0,left,left,3.3835104509999896,5.0,50.0,55.0,0.62,0.9059999999999999,2014_Nov_12_1312,233.93592914599998,229.365418695,1.187,MetaDots
1,8,Monolingual,1,8,1.0,right,right,2.8422305080000347,5.0,50.0,45.0,0.5,0.547,2014_Nov_12_1312,237.684159654,233.93592914599998,0.9059999999999999,MetaDots
1,9,Monolingual,1,9,0.0,right,left,3.099286704999994,4.0,50.0,46.0,0.5,0.7390000000000001,2014_Nov_12_1312,241.330446359,237.684159654,0.547,MetaDots
1,10,Monolingual,1,10,1.0,left,left,4.132374783999983,5.0,45.0,50.0,0.5,0.47,2014_Nov_12_1312,246.201821143,241.330446359,0.7390000000000001,MetaDots
1,11,Monolingual,1,11,1.0,right,right,1.7449053570000206,5.0,50.0,45.0,0.5,1.392,2014_Nov_12_1312,248.4167265,246.201821143,0.47,MetaDots
1,12,Monolingual,1,12,1.0,left,left,3.2060625340000075,4.0,46.0,50.0,0.62,0.795,2014_Nov_12_1312,253.01478903400002,248.4167265,1.392,MetaDots
1,13,Monolingual,1,13,1.0,left,left,5.309468693999962,4.0,46.0,50.0,0.54,0.905,2014_Nov_12_1312,259.119257728,253.01478903400002,0.795,MetaDots
1,14,Monolingual,1,14,1.0,left,left,3.2280625860000507,3.0,50.0,53.0,0.5,0.737,2014_Nov_12_1312,263.25232031400003,259.119257728,0.905,MetaDots
1,15,Monolingual,1,15,1.0,right,right,3.907825620000006,3.0,53.0,50.0,0.6,1.09,2014_Nov_12_1312,267.89714593400004,263.25232031400003,0.737,MetaDots
1,16,Monolingual,1,16,1.0,right,right,2.9858884419999505,2.0,50.0,48.0,0.6,0.907,2014_Nov_12_1312,271.973034376,267.89714593400004,1.09,MetaDots
1,17,Monolingual,1,17,0.0,right,left,2.894913182000021,2.0,50.0,48.0,0.6,0.987,2014_Nov_12_1312,275.774947558,271.973034376,0.907,MetaDots
1,18,Monolingual,1,18,1.0,left,left,1.9302522439999965,3.0,47.0,50.0,0.5,0.439,2014_Nov_12_1312,278.692199802,275.774947558,0.987,MetaDots
1,19,Monolingual,1,19,1.0,right,right,5.087309652999998,3.0,50.0,47.0,0.5,0.907,2014_Nov_12_1312,284.218509455,278.692199802,0.439,MetaDots
1,20,Monolingual,1,20,1.0,right,right,2.025953301999987,2.0,50.0,48.0,0.54,0.7979999999999999,2014_Nov_12_1312,287.151462757,284.218509455,0.907,MetaDots
1,21,Monolingual,1,21,1.0,left,left,2.5871360859999886,2.0,48.0,50.0,0.58,1.018,2014_Nov_12_1312,290.536598843,287.151462757,0.7979999999999999,MetaDots
1,22,Monolingual,1,22,1.0,left,left,3.084668846000029,1.0,50.0,51.0,0.5,0.441,2014_Nov_12_1312,294.639267689,290.536598843,1.018,MetaDots
1,23,Monolingual,1,23,0.0,left,right,5.066122845000026,1.0,50.0,51.0,0.5,0.7659999999999999,2014_Nov_12_1312,300.14639053400003,294.639267689,0.441,MetaDots
1,24,Monolingual,1,24,0.0,right,left,4.225700278999986,2.0,52.0,50.0,0.5,1.224,2014_Nov_12_1312,305.138090813,300.14639053400003,0.7659999999999999,MetaDots
1,25,Monolingual,1,25,1.0,left,left,3.4206997939999617,3.0,50.0,53.0,0.58,1.094,2014_Nov_12_1312,309.782790607,305.138090813,1.224,MetaDots
1,26,Monolingual,2,1,1.0,right,right,6.063299178606995,3.0,50.0,47.0,0.5,0.628,2014_Nov_12_1312,317.738811545,309.782790607,1.094,MetaDots
1,27,Monolingual,2,2,0.0,right,left,1.9771475430000436,2.0,50.0,48.0,0.5,0.8640000000000001,2014_Nov_12_1312,320.343959088,317.738811545,0.628,MetaDots
1,28,Monolingual,2,3,1.0,left,left,3.566151237999951,3.0,50.0,53.0,0.6,0.672,2014_Nov_12_1312,324.77411032599997,320.343959088,0.8640000000000001,MetaDots
1,29,Monolingual,2,4,1.0,left,left,3.5558144699999983,3.0,50.0,53.0,0.42,0.9670000000000001,2014_Nov_12_1312,329.00192479599997,324.77411032599997,0.672,MetaDots
1,30,Monolingual,2,5,1.0,right,right,4.5553522730000235,2.0,52.0,50.0,0.5,0.47,2014_Nov_12_1312,334.524277069,329.00192479599997,0.9670000000000001,MetaDots
1,31,Monolingual,2,6,1.0,right,right,3.1959759390000206,2.0,52.0,50.0,0.4,0.716,2014_Nov_12_1312,338.190253008,334.524277069,0.47,MetaDots
1,32,Monolingual,2,7,0.0,left,right,4.202248738999978,1.0,50.0,51.0,0.5,0.9229999999999999,2014_Nov_12_1312,343.108501747,338.190253008,0.716,MetaDots
1,33,Monolingual,2,8,1.0,left,left,5.441351807999981,2.0,48.0,50.0,0.5,1.157,2014_Nov_12_1312,349.472853555,343.108501747,0.9229999999999999,MetaDots
1,34,Monolingual,2,9,1.0,right,right,5.656111316000004,2.0,50.0,48.0,0.58,0.922,2014_Nov_12_1312,356.285964871,349.472853555,1.157,MetaDots
1,35,Monolingual,2,10,0.0,right,left,1.6877256970000443,1.0,51.0,50.0,0.5,0.5479999999999999,2014_Nov_12_1312,358.895690568,356.285964871,0.922,MetaDots
1,36,Monolingual,2,11,1.0,left,left,8.062768827999948,2.0,50.0,52.0,0.5,0.595,2014_Nov_12_1312,367.50645939599997,358.895690568,0.5479999999999999,MetaDots
1,37,Monolingual,2,12,0.0,right,left,4.127561426000027,2.0,50.0,48.0,0.34,0.955,2014_Nov_12_1312,372.229020822,367.50645939599997,0.595,MetaDots
1,38,Monolingual,2,13,0.0,right,left,6.72450098700004,3.0,53.0,50.0,0.5,0.609,2014_Nov_12_1312,379.90852180900004,372.229020822,0.955,MetaDots
1,39,Monolingual,2,14,1.0,right,right,1.6331881879999433,4.0,54.0,50.0,0.5,0.735,2014_Nov_12_1312,382.150709997,379.90852180900004,0.609,MetaDots
1,40,Monolingual,2,15,1.0,right,right,4.370264569999974,4.0,54.0,50.0,0.4,0.846,2014_Nov_12_1312,387.25597456699995,382.150709997,0.735,MetaDots
1,41,Monolingual,2,16,0.0,right,left,5.358722636000099,3.0,53.0,50.0,0.5,0.45399999999999996,2014_Nov_12_1312,393.46069720300005,387.25597456699995,0.846,MetaDots
1,42,Monolingual,2,17,0.0,right,left,5.427149668999911,4.0,54.0,50.0,0.5,0.47,2014_Nov_12_1312,399.34184687199996,393.46069720300005,0.45399999999999996,MetaDots
1,43,Monolingual,2,18,0.0,right,left,3.538981208000023,5.0,55.0,50.0,0.5,0.517,2014_Nov_12_1312,403.35082808,399.34184687199996,0.47,MetaDots
1,44,Monolingual,2,19,1.0,left,left,9.440064948000039,6.0,50.0,56.0,0.4,4.811,2014_Nov_12_1312,413.307893028,403.35082808,0.517,MetaDots
1,45,Monolingual,2,20,1.0,left,left,13.358528123999953,6.0,50.0,56.0,0.26,1.892,2014_Nov_12_1312,431.477421152,413.307893028,4.811,MetaDots
1,46,Monolingual,2,21,1.0,left,left,5.3151797749999865,5.0,50.0,55.0,0.58,0.779,2014_Nov_12_1312,438.68460092699996,431.477421152,1.892,MetaDots
1,47,Monolingual,2,22,1.0,right,right,4.373336504999994,5.0,50.0,45.0,0.5,0.41100000000000003,2014_Nov_12_1312,443.83693743199996,438.68460092699996,0.779,MetaDots
1,48,Monolingual,2,23,1.0,right,right,2.271936143000063,4.0,50.0,46.0,0.58,0.7040000000000001,2014_Nov_12_1312,446.519873575,443.83693743199996,0.41100000000000003,MetaDots
1,49,Monolingual,2,24,1.0,left,left,8.277589269999972,4.0,50.0,54.0,0.42,0.912,2014_Nov_12_1312,455.501462845,446.519873575,0.7040000000000001,MetaDots
1,50,Monolingual,2,25,0.0,right,left,2.129968914999984,3.0,50.0,47.0,0.5,0.76,2014_Nov_12_1312,458.54343176,455.501462845,0.912,MetaDots
1,51,Monolingual,3,1,0.0,right,left,4.293132292220007,4.0,50.0,46.0,0.4,1.3630000000000002,2014_Nov_12_1312,464.689853531,458.54343176,0.76,MetaDots
1,52,Monolingual,3,2,1.0,right,right,9.276060470000004,5.0,50.0,45.0,0.6,0.88,2014_Nov_12_1312,475.328914001,464.689853531,1.3630000000000002,MetaDots
1,53,Monolingual,3,3,1.0,right,right,5.157136907000047,5.0,55.0,50.0,0.4,1.675,2014_Nov_12_1312,481.36605090800003,475.328914001,0.88,MetaDots
1,54,Monolingual,3,4,0.0,left,right,7.560165210999981,4.0,50.0,54.0,0.4,0.872,2014_Nov_12_1312,490.601216119,481.36605090800003,1.675,MetaDots
1,55,Monolingual,3,5,1.0,left,left,2.3456845429999618,5.0,50.0,55.0,0.6,1.08,2014_Nov_12_1312,493.818900662,490.601216119,0.872,MetaDots
1,56,Monolingual,3,6,1.0,right,right,4.520366569000016,5.0,50.0,45.0,0.5,0.632,2014_Nov_12_1312,499.419267231,493.818900662,1.08,MetaDots
1,57,Monolingual,3,7,1.0,left,left,6.824599477000055,4.0,50.0,54.0,0.6,0.721,2014_Nov_12_1312,506.87586670800005,499.419267231,0.632,MetaDots
1,58,Monolingual,3,8,0.0,left,right,8.716930934999997,4.0,50.0,54.0,0.4,0.763,2014_Nov_12_1312,516.313797643,506.87586670800005,0.721,MetaDots
1,59,Monolingual,3,9,0.0,right,left,5.992144814999994,5.0,50.0,45.0,0.62,0.925,2014_Nov_12_1312,523.068942458,516.313797643,0.763,MetaDots
