Participant,Participant ID,Group,WM,NVR,BVAT,Age
1,1_1,Monolingual,17,12,40,23.083
2,2_1,Monolingual,16,12,43,22.333
3,3_1,Monolingual,11,9,40,20.917
4,4_1,Monolingual,16,8,50,28.917
5,5_1,Monolingual,17,7,47,20.25
6,6_1,Monolingual,23,11,39,18.25
7,7_1,Monolingual,13,11,46,18.917
8,8_1,Monolingual,20,8,39,19.833
9,9_1,Monolingual,25,10,44,19.583
10,10_1,Monolingual,19,9,46,20.083
11,11_1,Monolingual,14,9,45,20.167
12,12_1,Monolingual,19,11,53,25.083
13,13_1,Monolingual,25,12,40,18.75
14,14_1,Monolingual,19,10,36,20.167
15,15_1,Monolingual,13,9,39,20.75
16,16_1,Monolingual,26,9,35,20.75
17,17_1,Monolingual,21,8,34,21.0
18,18_1,Monolingual,14,10,50,21.583
19,19_1,Monolingual,14,12,49,26.833
20,20_1,Monolingual,16,6,38,19.667
21,21_1,Monolingual,14,9,43,25.417
22,22_1,Monolingual,17,12,45,20.5
23,23_1,Monolingual,16,10,46,21.25
24,24_1,Monolingual,29,12,48,27.667
25,25_1,Monolingual,28,10,52,34.417
26,26_1,Monolingual,14,9,40,20.25
27,27_1,Monolingual,18,9,37,18.333
28,28_1,Monolingual,12,9,49,24.5
29,29_1,Monolingual,20,12,42,24.167
30,30_1,Monolingual,17,12,49,27.25
31,31_1,Monolingual,12,12,11,19.833
32,1_2,Bilingual,19,11,36,19.917
33,2_2,Bilingual,13,10,33,26.417
34,3_2,Bilingual,12,9,30,24.917
35,4_2,Bilingual,16,12,42,34.083
36,5_2,Bilingual,14,12,42,27.417
37,6_2,Bilingual,15,10,34,22.833
38,7_2,Bilingual,16,12,32,28.583
39,8_2,Bilingual,26,11,47,27.0
40,9_2,Bilingual,18,11,33,26.0
41,10_2,Bilingual,14,10,33,28.75
42,11_2,Bilingual,8,9,37,21.25
43,12_2,Bilingual,11,12,34,20.583
44,13_2,Bilingual,14,11,34,21.333
45,14_2,Bilingual,18,9,41,20.5
46,15_2,Bilingual,14,9,34,19.583
47,16_2,Bilingual,13,11,28,23.667
48,17_2,Bilingual,21,11,29,24.667
49,18_2,Bilingual,19,9,48,22.167
50,19_2,Bilingual,18,9,32,29.167
51,20_2,Bilingual,17,9,34,21.0
52,21_2,Bilingual,15,10,34,25.5
53,22_2,Bilingual,18,12,45,26.75
54,23_2,Bilingual,16,12,33,21.5
55,24_2,Bilingual,18,5,33,24.75
56,25_2,Bilingual,20,12,36,23.167
57,26_2,Bilingual,11,5,34,24.333
58,27_2,Bilingual,11,11,40,20.5
59,28_2,Bilingual,16,11,36,27.5
60,29_2,Bilingual,22,12,50,26.75
61,30_2,Bilingual,19,11,43,34.083
62,31_2,Bilingual,15,11,48,38.25
